theme;author;views;messages;timestamp;last_editor
Пересдачи зачётов по ФИ и АК, февраль 2025;zzz;2951;3;1740424200;zzz
Оценки пересдачи ФИ I;zzz;1886;1;1740334140;zzz
Оценки пересдач АК I;zzz;6048;1;1739984880;zzz
314 2В -- > 444 "Б";zzz;13700;1;1739549220;zzz
Оценки зачёта по АК 28 декабря 2024 г.;zzz;73367;6;1739459160;'nsin
Оценки зачётов по ФИ 24-25 декабря 2024 г.;zzz;2318931;10;1737608880;zzz
Результаты сдачи переводных задолжностей;zzz;1043;1;1737381900;zzz
Два автоматом!;zzz;12646908;1;1736500320;zzz
Теор. зачёты по ФИ и АК 2024/25 осенний семестр. !!! yet another И З М Е Н Е Н И Я !!!;zzz;503411;2;1735056420;zzz
Пересдачи экзамена по АиСД и зачёта по п.р.а.к.;nadya.s;58222;39;1730199720;zzz
Материалы к ЛР и КП (учебные планы 2000-2019 гг.);Gronix;114839;18;1726747380;Тимур Бучкин
Предварительное расписание ЛР по ФИ и АК;zzz;1524;1;1726333680;zzz
Оценки экзамена по А и СД;zzz;3324213;17;1720285680;zzz
Последняя версия учебника 14.06.2024;Тимур Бучкин;15437;9;1719511740;ivchenko111ms
Экзамены 24-27 июня 2024 г.;zzz;1328;1;1719198360;zz100z
Экзамен в субботу [b]102[/b] и 114 гр.;zzz;33670;1;1718967720;zzz
Экзамен 111 и 113 группы;lemit101;117475;2;1718942820;zzz
Экзамен в 115 гр. в среду, 19 июня 2024;zzz;128997;1;1718734140;zzz
Порядок проведения экзамена по А и СД, июнь 2024 г.;zzz;36296;1;1718597220;zzz
Бонусы за олимпиады в весеннем семестре 2023/24 уч. года;zzz;12176;1;1717862820;zzz
Вопросы к экзамену по А и СД за весенний семестр 2023/24 г.;zzz;13887;1;1717859160;zzz
Обновленный алгоритм сортировочной станции Дейкстры;Тимур Бучкин;22368;3;1716221220;Тимур Бучкин
Последняя версия учебника 17.05.2024;Тимур Бучкин;21900;1;1716217560;Тимур Бучкин
Последняя версия учебника 17.04.2024;Тимур Бучкин;12721;2;1713431520;Тимур Бучкин
Графы 17.04.2024;Тимур Бучкин;2643;1;1713348060;Тимур Бучкин
Обновленный Бауэр-Замельзон;Тимур Бучкин;2633;1;1712167740;Тимур Бучкин
Обновленный Рутисхаузер;Тимур Бучкин;2673;1;1711559280;Тимур Бучкин
Пересдачи зачёта по ФИ за осень 2023/24;zzz;12536;21;1710526140;zzz
Пересдачи экзамена по АК и ... за январь 2024;zzz;4689;5;1710526140;zzz
Пересдача пересдачи;zzz;2621;2;1710439740;zzz
Обновленный конспект;Тимур Бучкин;3284;1;1708506720;Тимур Бучкин
Содержание практикума, весна 2024;zzz;1784;1;1707761340;zzz
Пересдачи в счёт продления сессии 2023/24;zzz;2191;1;1707242940;zzz
Экзамен за осень 2023 г.: уточнения расписания, вопросы и оценки;zzz;31002;27;1706371620;zzz
Теор. зачёты по ФИ за осень 2023 г.: расписание и оценки;zzz;35147;18;1705410240;zzz
Бонусы за осенние олимпиады I курса сезон 2023/24;zzz;2435;1;1703163840;zzz
Ближайшая выдача зачёток -- четверг, 14 декабря, 19:00, 618.;zzz;4046;5;1703163840;zzz
II пересдача экзамена за июнь 2023;zzz;15754;13;1701364080;zzz
Зайцев В. Е. Консультация к коронавирусному экзамену;Тимур Бучкин;2214;1;1700748300;Тимур Бучкин
II теорема Шеннона на примере троичного сложения;Тимур Бучкин;1966;1;1700039520;Тимур Бучкин
Обновлённый диаграммер Тьюринга;Тимур Бучкин;2350;2;1699394460;Тимур Бучкин
Конспект лекций по ФИ и АиСД;zzz;2918;4;1697620320;Тимур Бучкин
I пересдача экзамена за II семестр;zzz;34991;25;1697465100;zzz
Материалы ЛР и КР (учебные планы с 2020/21 уч. года);zzz;6732;3;1696773900;zzz
Материалы к ЛР № 7 по НАМ (1995-2022гг.). Ныне КР III;zzz;29178;11;1695740760;Тимур Бучкин
2022/23: вопросы к весеннему экзамену и конспект с весенними обновлениями!;zzz;4226;4;1695229680;zzz
Комментарии одного из модераторов относительно политики модерирования;pzh;2132;2;1691157900;pzh
Алгоритм Бауэра-Замельзона;Тимур Бучкин;1790;2;1688242260;cucurbita
Экзамен 28.06.2023;IvanB;1839;2;1687863720;zzz
Комментарии к экзаменационным работам.;rlb1;2173;3;1687777320;rlb1
Алгоритм Рутисхаузера;Тимур Бучкин;2173;3;1687687260;zzz
Расписание экзамена, 23.06.23;rlb1;1667;2;1687363620;zzz
